rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
18933.200000047684,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,18939,0.0-0.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
9238.699999928474,NA,NA,NA,NA,external-html,1,29681,0.0-1.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,consent.html,NA,NA,NA,NA,NA,NA,NA,NA
9161.199999928474,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,38845,0.0-2.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
18358.600000023842,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,58223,0.0-3.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,The police officer is arresting the robber,NA,NA,NA,html-keyboard-response,4,61232,0.0-4.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,null,NA,NA,NA,NA,NA,NA,NA
16211.600000023842,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,77447,0.0-5.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
20606.800000071526,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,99059,0.0-6.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Beth is being looked at by Mike,NA,NA,NA,html-keyboard-response,7,102085,0.0-7.0-0.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,null,W4 is being looked at by M2,look4,sentence,NA,NA,NA,NA
9334.5,NA,NA,NA,NA,survey-likert-extra-labels,8,111426,0.0-7.0-1.0-0.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,NA,W4 is being looked at by M2,look4,rating_causation,"{""Q0"":6}",[0],W4 looked at M2 first,M2 looked at W4 first
16611.899999976158,NA,NA,NA,NA,survey-likert-extra-labels,9,128053,0.0-7.0-2.0,anomymised,6565828c009eeb17459c8434,6565f48655984d98f81aff48,35007,1B,woman,NA,NA,W4 is being looked at by M2,look4,rating_volition,"{""Q0"":6}",[0],W4 wanted to look at M2,M2 wanted to look at W4
